Communication_Group,Communication_Type,Fuel_Type,Zone,Supplier,Elec_Customer_No,Gas_Customer_No,Title,First_Name,Last_Name,Address_Line_1,Address_Line_2,Address_Line_3,Town,Postcode,Title_1,First_Name_1,Last_Name_1,Title_2,First_Name_2,Last_Name_2,Email_Address,Elec_Paperless,Gas_Paperless,Elec_Old_Stdg_Chrg,Elec_New_Stdg_Chrg,Elec_Old_Unit_1_Inc_Vat,Elec_New_Unit_1_Inc_Vat,Elec_Old_Unit_2_Inc_Vat,Elec_New_Unit_2_Inc_Vat,Elec_Old_Unit_3_Inc_Vat,Elec_New_Unit_3_Inc_Vat,Elec_Old_Unit_4_Inc_Vat,Elec_New_Unit_4_Inc_Vat,Gas_Old_Stdg_Chrg_Inc_Vat,Gas_New_Stdg_Chrg_Inc_Vat,Gas_Old_Unit_1_Inc_Vat,Gas_New_Unit_1_Inc_Vat,Elec_Total_Old_Cost,Elec_Total_New_Cost,Elec_Total_Savings_Cost,Elec_Total_Increase_Cost,Gas_Total_Old_Cost,Gas_Total_New_Cost,Gas_Total_Savings_Cost,Gas_Total_Increase_Cost,Cheapest_Similar_Tariff,Elec_Cheapest_Saving,Cheapest_Overall_Tariff,Elec_Cheapest_Overall_saving,Gas_Cheapest_Similar_Tariff,Gas_Cheapest_Saving,Gas_Cheapest_Overall_Tariff,Gas_Overall_Saving,Elec_Annual_Flag,Elec_Annual_Usage,SPID,Elec_Tariff_Name,Elec_Payment_Method,Gas_Annual_Flag,Gas_Annual_Usage,Gas_SPID,Gas_Tariff_Name,Gas_Payment_Method,Elec_Current_Prices_Until,Gas_Current_Prices_Until,Price_Implementation_Date,Price_Promise_Date,Cancellation_Date,Front_Of_Letter_No,Website,Elec_Price_Table_Code,Gas_Price_Table_Code,Date_Last_Updated,Total_Change,Total_Old_Costs,Total_New_Costs,Anytime_Consumption,Peak_Consumption,OffPeak_Consumption,Heating_Consumption,Evening_And_Weekend_Consumption,Marketing_pref,Beyond_eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepayment - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,24006449,24006449,,Mr M Rai,",",24A BLACK LAKE,,,WEST BROMWICH,B70 0PP,,,,,,,,N,N,0.6360,0.6507,0.2336,0.2483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3166,0.3229,0.0605,0.0668,840.73,884.39,0.00,43.66,711.28,775.63,0.00,64.35,Pay As You Go,0.00,1 Year Fixed Loyalty,36.70,Pay As You Go,0.00,1 Year Fixed Loyalty,21.18,A,2605.00,N/A,Pay As You Go,Prepayment,A,9850.00,N/A,Pay As You Go,Prepayment,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,108.01,1552.01,1660.02,2605,0,0,0,0,POST,PROSPECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepayment - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,24173002,24173002,Miss,Katie,Smith,162A Tipton Road,Woodsetton,,DUDLEY,DY3 1AL,,,,,,,katie77smith@gmail.com,N,N,0.6360,0.6507,0.2336,0.2483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3166,0.3229,0.0605,0.0668,797.98,838.94,0.00,40.96,343.68,369.74,0.00,26.06,Pay As You Go,0.00,1 Year Fixed Loyalty,34.93,Pay As You Go,0.00,1 Year Fixed Loyalty,11.61,A,2422.00,N/A,Pay As You Go,Prepayment,A,3772.00,N/A,Pay As You Go,Prepayment,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,67.02,1141.66,1208.68,2422,0,0,0,0,POST,PROSPECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepayment - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,23870671,23870671,Ms,virginia,Latusek,55 Gibbons Road,,,SUTTON COLDFIELD,B75 5ER,,,,,,,,N,N,0.6360,0.6507,0.2336,0.2483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3166,0.3229,0.0605,0.0668,904.98,952.68,0.00,47.70,709.97,774.19,0.00,64.22,Pay As You Go,0.00,1 Year Fixed Loyalty,39.36,Pay As You Go,0.00,1 Year Fixed Loyalty,21.16,A,2880.00,N/A,Pay As You Go,Prepayment,A,9828.34,N/A,Pay As You Go,Prepayment,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,111.92,1614.95,1726.87,2880,0,0,0,0,POST,PROSPECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepayment - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,24464051,24464051,Miss,Tomeka,Dixon,8 New Street,,,STOKE-ON-TRENT,ST6 4GB,,,,,,,dixontomeka@yahoo.co.uk,N,N,0.6360,0.6507,0.2336,0.2483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3166,0.3229,0.0605,0.0668,1304.95,1377.81,0.00,72.86,778.74,850.12,0.00,71.38,Pay As You Go,0.00,1 Year Fixed Loyalty,55.90,Pay As You Go,0.00,1 Year Fixed Loyalty,22.94,A,4592.00,N/A,Pay As You Go,Prepayment,A,10965.41,N/A,Pay As You Go,Prepayment,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,144.24,2083.69,2227.93,4592,0,0,0,0,POST,PROSPECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepayment - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,7088209,7088209,,Hewlett,Johnson,Flat 2 18 Anderton Road,,,BIRMINGHAM,B111NQ,,,,,,,,N,N,0.6360,0.6507,0.2336,0.2483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3166,0.3229,0.0605,0.0668,514.83,537.97,0.00,23.14,597.68,650.21,0.00,52.53,Pay As You Go,0.00,1 Year Fixed Loyalty,23.22,Pay As You Go,0.00,1 Year Fixed Loyalty,18.23,A,1210.00,N/A,Pay As You Go,Prepayment,A,7971.80,N/A,Pay As You Go,Prepayment,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,75.67,1112.51,1188.18,1210,0,0,0,0,OPTED OUT,PROSPECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepayment - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,23942452,23942452,Mr,Michael,Wood,1 Croft Street,,,LEOMINSTER,HR6 8LA,,,,,,,michaelwood404@gmail.com,N,N,0.6360,0.6507,0.2336,0.2483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3166,0.3229,0.0605,0.0668,828.35,871.23,0.00,42.88,319.52,343.06,0.00,23.54,Pay As You Go,0.00,1 Year Fixed Loyalty,36.19,Pay As You Go,0.00,1 Year Fixed Loyalty,10.98,A,2552.00,N/A,Pay As You Go,Prepayment,A,3372.49,N/A,Pay As You Go,Prepayment,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,66.42,1147.87,1214.29,2552,0,0,0,0,POST,PROSPECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepayment - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,23694048,23694048,Mrs,Elaine,Birch,27 Eagle Street,,,TIPTON,DY4 0JG,,,,,,,elaine_46@hotmail.co.uk,N,N,0.6360,0.6507,0.2336,0.2483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3166,0.3229,0.0605,0.0668,629.54,659.90,0.00,30.36,521.67,566.27,0.00,44.60,Pay As You Go,0.00,1 Year Fixed Loyalty,27.97,Pay As You Go,0.00,1 Year Fixed Loyalty,16.25,A,1701.00,N/A,Pay As You Go,Prepayment,A,6714.89,N/A,Pay As You Go,Prepayment,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,74.96,1151.21,1226.17,1701,0,0,0,0,POST,PROSPECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepayment - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,23668527,23668527,Mrs,Carolann,Dalziel,51 Withington Road,,,STOKE-ON-TRENT,ST6 6RU,,,,,,,caz.pep@hotmail.com,N,N,0.6360,0.6507,0.2336,0.2483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3166,0.3229,0.0605,0.0668,1132.06,1194.05,0.00,61.99,722.27,787.77,0.00,65.50,Pay As You Go,0.00,1 Year Fixed Loyalty,48.75,Pay As You Go,0.00,1 Year Fixed Loyalty,21.47,A,3852.00,N/A,Pay As You Go,Prepayment,A,10031.77,N/A,Pay As You Go,Prepayment,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,127.49,1854.33,1981.82,3852,0,0,0,0,OPTED OUT,PROSPECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepayment - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,23902932,23902932,Mr,Nathan,Rogers,12 Weeping Cross Lane,,,LUDLOW,SY8 1JH,Miss,Sue,Greenhill ,,,,suze@talktalk.net,N,N,0.6360,0.6507,0.2336,0.2483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3166,0.3229,0.0605,0.0668,537.02,561.56,0.00,24.54,191.38,201.58,0.00,10.20,Pay As You Go,0.00,1 Year Fixed Loyalty,24.14,Pay As You Go,0.00,1 Year Fixed Loyalty,7.65,A,1305.00,N/A,Pay As You Go,Prepayment,A,1253.81,N/A,Pay As You Go,Prepayment,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,34.74,728.40,763.14,1305,0,0,0,0,POST,PROSPECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepayment - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,24186740,24186740,Mr,Mehretab,Mebrhtom,14 Burlington Street,,,BIRMINGHAM,B6 4UB,,,,,,,mehretabmebrhtom@gmail.com,N,N,0.6360,0.6507,0.2336,0.2483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3166,0.3229,0.0605,0.0668,488.89,510.41,0.00,21.52,453.69,491.22,0.00,37.53,Pay As You Go,0.00,1 Year Fixed Loyalty,22.15,Pay As You Go,0.00,1 Year Fixed Loyalty,14.48,A,1099.00,N/A,Pay As You Go,Prepayment,A,5591.00,N/A,Pay As You Go,Prepayment,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,59.05,942.58,1001.63,1099,0,0,0,0,POST,PROSPECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
