Communication_Group,Communication_Type,Fuel_Type,Zone,Supplier,Elec_Customer_No,Gas_Customer_No,Title,First_Name,Last_Name,Address_Line_1,Address_Line_2,Address_Line_3,Town,Postcode,Title_1,First_Name_1,Last_Name_1,Title_2,First_Name_2,Last_Name_2,Email_Address,Elec_Paperless,Gas_Paperless,Elec_Old_Stdg_Chrg,Elec_New_Stdg_Chrg,Elec_Old_Unit_1_Inc_Vat,Elec_New_Unit_1_Inc_Vat,Elec_Old_Unit_2_Inc_Vat,Elec_New_Unit_2_Inc_Vat,Elec_Old_Unit_3_Inc_Vat,Elec_New_Unit_3_Inc_Vat,Elec_Old_Unit_4_Inc_Vat,Elec_New_Unit_4_Inc_Vat,Gas_Old_Stdg_Chrg_Inc_Vat,Gas_New_Stdg_Chrg_Inc_Vat,Gas_Old_Unit_1_Inc_Vat,Gas_New_Unit_1_Inc_Vat,Elec_Total_Old_Cost,Elec_Total_New_Cost,Elec_Total_Savings_Cost,Elec_Total_Increase_Cost,Gas_Total_Old_Cost,Gas_Total_New_Cost,Gas_Total_Savings_Cost,Gas_Total_Increase_Cost,Cheapest_Similar_Tariff,Elec_Cheapest_Saving,Cheapest_Overall_Tariff,Elec_Cheapest_Overall_saving,Gas_Cheapest_Similar_Tariff,Gas_Cheapest_Saving,Gas_Cheapest_Overall_Tariff,Gas_Overall_Saving,Elec_Annual_Flag,Elec_Annual_Usage,SPID,Elec_Tariff_Name,Elec_Payment_Method,Gas_Annual_Flag,Gas_Annual_Usage,Gas_SPID,Gas_Tariff_Name,Gas_Payment_Method,Elec_Current_Prices_Until,Gas_Current_Prices_Until,Price_Implementation_Date,Price_Promise_Date,Cancellation_Date,Front_Of_Letter_No,Website,Elec_Price_Table_Code,Gas_Price_Table_Code,Date_Last_Updated,Total_Change,Total_Old_Costs,Total_New_Costs,Anytime_Consumption,Peak_Consumption,OffPeak_Consumption,Heating_Consumption,Evening_And_Weekend_Consumption,Marketing_pref,Beyond_eligibility
Prepayment - Non Exotic - Letter,POST,Elec Only,_G,OVO,24575135,,Mr,Richard,Gilbourne,45 Churchill Street,,,STOCKPORT,SK4 1NB,Mrs,Susan Jane,Gilbourne,,,,deathshead@ntlworld.com,N,N,0.5174,0.5321,0.2797,0.2944,0.1738,0.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1903.73,2014.01,0.00,110.28,0.00,0.00,0.00,0.00,Pay As You Go - Economy 7,0.00,1 Year Fixed Loyalty  Economy 7,66.39, ,0.00, ,0.00,A,7137.00,N/A,Pay As You Go - Economy 7,Prepayment,,,,,,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,110.28,1903.73,2014.01,0,4480,2657,0,0,OPTED OUT,PROSPECTIVE
Prepayment - Non Exotic - Letter,POST,Elec Only,_G,OVO,24194376,,Mr,Marcus,England,Apartment 9 Temple Apartments Cornishway,Wythenshawe,,MANCHESTER,M22 0LB,,,,,,,chloeest1973@gmail.com,N,N,0.5174,0.5321,0.2797,0.2944,0.1738,0.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1468.93,1554.20,0.00,85.27,0.00,0.00,0.00,0.00,Pay As You Go - Economy 7,0.00,1 Year Fixed Loyalty  Economy 7,47.97, ,0.00, ,0.00,A,5436.00,N/A,Pay As You Go - Economy 7,Prepayment,,,,,,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,85.27,1468.93,1554.20,0,3166,2270,0,0,POST,PROSPECTIVE
Prepayment - Non Exotic - Letter,POST,Elec Only,_G,OVO,24526566,,Mrs,Lacey,Molloy,Flat 148 Cavendish Mill Cavendish Street,,,ASHTON-UNDER-LYNE,OL6 7DP,,,,,,,,N,N,0.5174,0.5321,0.2797,0.2944,0.1738,0.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,703.65,748.33,0.00,44.68,0.00,0.00,0.00,0.00,Pay As You Go - Economy 7,0.00,1 Year Fixed Loyalty  Economy 7,9.32, ,0.00, ,0.00,A,2674.00,N/A,Pay As You Go - Economy 7,Prepayment,,,,,,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,44.68,703.65,748.33,0,473,2201,0,0,POST,PROSPECTIVE
Prepayment - Non Exotic - Letter,POST,Elec Only,_G,OVO,24225609,,Mr,Wayne,Bardon,10 Tetlow Street,Peach Bank House Middleton,,MANCHESTER,M24 1BG,,,,,,,waynebardon@hotmail.co.uk,N,N,0.5174,0.5321,0.2797,0.2944,0.1738,0.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,829.74,870.65,0.00,40.91,0.00,0.00,0.00,0.00,Pay As You Go,46.75,1 Year Fixed Loyalty,58.40, ,0.00, ,0.00,A,2418.00,N/A,Pay As You Go - Economy 7,Prepayment,,,,,,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,40.91,829.74,870.65,0,2083,335,0,0,POST,PROSPECTIVE
Prepayment - Non Exotic - Letter,POST,Elec Only,_G,OVO,24239041,,Miss,Jodie,Keenan,39 Gladstone Street,,,MANCHESTER,M27 4DQ,,,,,,,jodie.keenan39@icloud.com,N,N,0.5174,0.5321,0.2797,0.2944,0.1738,0.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,909.74,954.48,0.00,44.74,0.00,0.00,0.00,0.00,Pay As You Go,62.73,1 Year Fixed Loyalty,75.04, ,0.00, ,0.00,A,2679.00,N/A,Pay As You Go - Economy 7,Prepayment,,,,,,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,44.74,909.74,954.48,0,2410,269,0,0,POST,PROSPECTIVE
Prepayment - Non Exotic - Letter,POST,Elec Only,_G,OVO,24258086,,Miss,Sallie,Smith,9 Bowling Green Mobile Home Park,,,CARNFORTH,LA5 9DN,,,,,,,salliemaysmith@hotmail.co.uk,N,N,0.5174,0.5321,0.2797,0.2944,0.1738,0.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1201.15,1263.36,0.00,62.21,0.00,0.00,0.00,0.00,Pay As You Go,62.75,1 Year Fixed Loyalty,78.05, ,0.00, ,0.00,A,3867.00,N/A,Pay As You Go - Economy 7,Prepayment,,,,,,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,62.21,1201.15,1263.36,0,3212,655,0,0,OPTED OUT,PROSPECTIVE
Prepayment - Non Exotic - Letter,POST,Elec Only,_G,OVO,25199862,,,Simone,Griffin,9B,BRIDGE HOUSE,,LANCASHIRE,LA12AZ,,,,,,,,N,N,0.5174,0.5321,0.2797,0.2944,0.1738,0.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,381.53,398.27,0.00,16.74,0.00,0.00,0.00,0.00,Pay As You Go,1.78,1 Year Fixed Loyalty  Economy 7,12.90, ,0.00, ,0.00,A,774.00,N/A,Pay As You Go - Economy 7,Prepayment,,,,,,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,16.74,381.53,398.27,0,549,225,0,0,OPTED OUT,PROSPECTIVE
Prepayment - Non Exotic - Letter,POST,Elec Only,_G,OVO,24038827,,Miss,Tanya,Roberts,37 Whitegate Close,Padiham,,BURNLEY,BB12 8TJ,,,,,,,tanyar0603@outlook.com,N,N,0.5174,0.5321,0.2797,0.2944,0.1738,0.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1675.96,1778.22,0.00,102.26,0.00,0.00,0.00,0.00,Pay As You Go - Economy 7,0.00,1 Year Fixed Loyalty  Economy 7,47.42, ,0.00, ,0.00,A,6592.00,N/A,Pay As You Go - Economy 7,Prepayment,,,,,,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,102.26,1675.96,1778.22,0,3224,3368,0,0,EMAIL,PROSPECTIVE
Prepayment - Non Exotic - Letter,POST,Elec Only,_G,OVO,24254016,,Mr,Kieran,Ahren,4 Victoria Mill 10 Lower Vickers Street,,,MANCHESTER,M40 7LJ,,,,,,,kieranahern00@gmail.com,N,N,0.5174,0.5321,0.2797,0.2944,0.1738,0.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,685.24,718.87,0.00,33.63,0.00,0.00,0.00,0.00,Pay As You Go,23.66,1 Year Fixed Loyalty,34.07, ,0.00, ,0.00,A,1923.00,N/A,Pay As You Go - Economy 7,Prepayment,,,,,,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,33.63,685.24,718.87,0,1531,392,0,0,POST,PROSPECTIVE
Prepayment - Non Exotic - Letter,POST,Elec Only,_G,OVO,24246813,,Mr,Alan,Howells,29A Barn Croft,,,LEYLAND,PR26 7UD,,,,,,,alski1971@googlemail.com,N,N,0.5174,0.5321,0.2797,0.2944,0.1738,0.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,966.75,1017.74,0.00,50.99,0.00,0.00,0.00,0.00,Pay As You Go,15.50,1 Year Fixed Loyalty  Economy 7,36.60, ,0.00, ,0.00,A,3104.00,N/A,Pay As You Go - Economy 7,Prepayment,,,,,,,,1st April 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,50.99,966.75,1017.74,0,2251,853,0,0,POST,PROSPECTIVE
