Communication_Group,Communication_Type,Fuel_Type,Zone_1,Supplier,Elec_Customer_No,Gas_Customer_No,Title,First_Name,Last_Name,Address_Line_1,Address_Line_2,Address_Line_3,Town,Postcode,Title_1,First_Name_1,Last_Name_1,Title_2,First_Name_2,Last_Name_2,Email_Address,Elec_Paperless,Gas_Paperless,Elec_Old_Stdg_Chrg,Elec_New_Stdg_Chrg,Elec_Old_Unit_1_Inc_Vat,Elec_New_Unit_1_Inc_Vat,Elec_Old_Unit_2_Inc_Vat,Elec_New_Unit_2_Inc_Vat,Elec_Old_Unit_3_Inc_Vat,Elec_New_Unit_3_Inc_VAT,Elec_Old_Unit_4_Inc_VAT,Elec_New_Unit_4_Inc_VAT,Gas_Old_Stdg_Chrg_Inc_Vat,Gas_New_Stdg_Chrg_Inc_Vat,Gas_Old_Unit_1_Inc_Vat,Gas_New_Unit_1_Inc_Vat,Elec_Total_Old_Cost,Elec_Total_New_Cost,Elec_Total_Savings_Cost,Elec_Total_Increase_Cost,Gas_Total_Old_Cost,Gas_Total_New_Cost,Gas_Total_Savings_Cost,Gas_Total_Increase_Cost,Elec_Cheapest_Similar_Tariff,Elec_Cheapest_Similar_Saving,Elec_Cheapest_Overall_Tariff,Elec_Cheapest_Overall_saving,Gas_Cheapest_Similar_Tariff,Gas_Cheapest_Similar_Saving,Gas_Cheapest_Overall_Tariff,Gas_Overall_Saving,Annual_Flag,Elec_Annual_Usage,SPID,Elec_Tariff_Name,Elec_Payment_Method,Gas_Annual_Flag,Gas_Annual_Usage,Gas_SPID,Gas_Tariff_Name,Gas_Payment_Method,Elec_Current_Prices_Until,Gas_Current_Prices_Until,Price_Implementation_Date,Price_Promise_Date,Cancellation_Date,Front_Of_Letter_No,Website,Elec_Price_Table_Code,Gas_Price_Table_Code,Date_Last_Updated,Total_Change,Total_Old_Costs,Total_New_Costs,Marketing_pref,Beyond_Eligibility,ANNUAL_USAGE_CHECK,OLD_SC_CHECK,NEW_SC_CHECK,SC_OLD_NEW_CHECK,NEW_UR_CHECK,OLD_EA_COST_CHECK,NEW_EA_COST_CHECK,EA_CHANGE_CHECK,PM_CHECK,LTR_TYPE,CREATIVE,INCR_DECR_CHECK,INCR_COST,UR_AMOUNT,HIGH_CHURN,CUST_NAME,ADD_1,ADD_2,ADD_3,ADD_4,ADD_5,ADD_6,SUPP_ADD,SEQ_NUM,PRINTDATE,MAILMARKBARCODE_PLAINTEXT,SORT CODE,BAG SEQUENCE,ZONE
Credit - Non Exotic - Letter,POST,Dual Fuel,_H,OVO,26382394,26382394,,Hasti,Hawia,"93, Moore Avenue",,,BOURNEMOUTH,BH118AU,,,,,,,hasti_1986@hotmail.com,N,N,0.7085,0.7084,0.2722,0.2833,0.2202,0.2195,0,0,0,0,0.363,0.363,0.0665,0.0675,819.22,833.43,0,14.21,506.49,512.4,0,5.91,Simpler Energy - Economy 10,51.83,1 Year Fixed Loyalty,62.98,Simpler Energy,37.19,1 Year Fixed Loyalty,53.11,A,2230,N/A,Simpler Energy - Economy 10,On Demand,A,5627,N/A,Simpler Energy,On Demand,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,20.12,1325.71,1345.83,OPTED OUT,PROSPECTIVE,OK,OK,OK,OK,,OK,OK,OK,OK,PAYM,B,INCR,20.12,2,,Hasti Hawia,"93, Moore Avenue",,,BOURNEMOUTH,,BH118AU,"93, Moore Avenue, Bournemouth, BH118AU",1,03-Dec-24,,,,
Credit - Non Exotic - Letter,POST,Dual Fuel,_H,OVO,23272925,23272925,Mrs,Nicole,James,24 ELDON Avenue,,,NEW MILTON,BH25 7LL,,,,,,,nicojam5@icloud.com,N,N,0.7085,0.7084,0.305,0.2863,0.1743,0.2086,0,0,0,0,0.363,0.363,0.0665,0.0675,1386.77,1500.73,0,113.96,280.04,282.37,0,2.33,Simpler Energy - 2 Rate,82.9,Simpler Energy - 2 Rate,82.9,Simpler Energy,25.74,1 Year Fixed Loyalty,41.3,A,5442,N/A,Simpler Energy - 2 Rate,On Demand,A,2220,N/A,Simpler Energy,On Demand,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,116.29,1666.81,1783.1,OPTED OUT,PROSPECTIVE,OK,OK,OK,OK,,OK,OK,OK,OK,PAYM,B,INCR,116.29,2,,Mrs Nicole James,24 Eldon Avenue,,,NEW MILTON,,BH25 7LL,"24 Eldon Avenue, New Milton, BH25 7LL",2,03-Dec-24,,,,
Credit - Non Exotic - Letter,POST,Dual Fuel,_H,OVO,20621969,20621969,Mrs,P,Rutter,36 JENSON Gardens,,,ANDOVER,SP10 3UA,,,,,,,,N,N,0.7085,0.7084,0.291,0.2918,0.1844,0.1956,0,0,0,0,0.363,0.363,0.0665,0.0675,794.08,801.1,0,7.02,132.56,132.56,0,0,Simpler Energy,59.93,1 Year Fixed Loyalty,79.02,Simpler Energy,18.29,1 Year Fixed Loyalty,33.62,A,2029,N/A,Simpler Energy - Economy 7,On Demand,A,1,N/A,Simpler Energy,On Demand,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,7.02,926.64,933.66,POST,PROSPECTIVE,OK,OK,OK,OK,,OK,OK,OK,OK,PAYM,D,INCR,7.02,2,,Mrs P Rutter,36 Jenson Gardens,,,ANDOVER,,SP10 3UA,"36 Jenson Gardens, Andover, SP10 3UA",4,03-Dec-24,,,,
Credit - Non Exotic - Letter,POST,Dual Fuel,_H,OVO,24374958,24374958,,Highdorn Co Ltd,,C/O Highdorn Company Limited New London House 172 Drury Lane,,,LONDON,WC2B 5AF,,,,,,,,N,N,0.7085,0.7084,0.3029,0.3009,0.2253,0.2294,0.2202,0.2291,0,0,0.363,0.363,0.0665,0.0675,4361.96,4482.58,0,120.62,651.12,659.31,0,8.19,Simpler Energy - Superdeal,233.81,Simpler Energy - Superdeal,233.81,Simpler Energy,44.5,1 Year Fixed Loyalty,60.65,A,17526,N/A,Simpler Energy - Superdeal,On Demand,A,7803,N/A,Simpler Energy,On Demand,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,128.81,5013.08,5141.89,POST,PROSPECTIVE,OK,OK,OK,OK,,OK,OK,OK,OK,PAYM,D,INCR,128.81,3,,Highdorn Co Ltd,C/O Highdorn Company Limited New London House 172 Drury Lane,,,LONDON,,WC2B 5AF,"C/O Highdorn Company Limited New London House 172 Drury Lane, London, WC2B 5AF",8,03-Dec-24,,,,
Credit - Non Exotic - Letter,POST,Dual Fuel,_B,OVO,22848021,22848021,,Jzrme,VOSSIER,Broadway Kenilworth Road,Blackdown,,LEAMINGTON SPA,CV32 6RG,,,,,,,phylis84@hotmail.sr,N,N,0.6285,0.6284,0.2827,0.2843,0.1773,0.187,0,0,0,0,0.3632,0.3631,0.0641,0.0651,1015.06,1023.61,0,8.55,1979.97,2010.21,0,30.24,Simpler Energy,105.02,1 Year Fixed Loyalty,132.42,Simpler Energy,111.55,1 Year Fixed Loyalty,129.91,A,2949,N/A,Simpler Energy - Economy 7,On Demand,A,28843.11,N/A,Simpler Energy,On Demand,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,38.79,2995.03,3033.82,POST,PROSPECTIVE,OK,OK,OK,OK,,OK,OK,OK,OK,PAYM,D,INCR,38.79,2,,Jzrme Vossier,Broadway Kenilworth Road,Blackdown,,LEAMINGTON SPA,,CV32 6RG,"Broadway Kenilworth Road, Blackdown, Leamington Spa, CV32 6RG",11,03-Dec-24,,,,
Credit - Non Exotic - Letter,POST,Dual Fuel,_J,OVO,26016405,26016405,,MARIIA,ROZHKOVSKAIA,"Flat 8, 21",Rosslyn Road,,TWICKENHAM,TW12AR,,,,,,,,N,N,0.6407,0.6406,0.286,0.2972,0.2095,0.2074,0,0,0,0,0.3631,0.3631,0.0649,0.0659,589.73,599.61,0,9.88,756.38,766.48,0,10.1,Simpler Energy,43.88,1 Year Fixed Loyalty,56.81,Simpler Energy,50.28,1 Year Fixed Loyalty,66.62,A,1347,N/A,Simpler Energy - 2 Rate,On Demand,A,9614,N/A,Simpler Energy,On Demand,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,19.98,1346.11,1366.09,OPTED OUT,PROSPECTIVE,OK,OK,OK,OK,,OK,OK,OK,OK,PAYM,B,INCR,19.98,2,,Mariia Rozhkovskaia,"Flat 8, 21",Rosslyn Road,,TWICKENHAM,,TW12AR,"Flat 8, 21, Rosslyn Road, Twickenham, TW12AR",21,03-Dec-24,,,,
Credit - Non Exotic - Letter,POST,Dual Fuel,_J,OVO,20838309,20838309,,The Executors of Mrs Irene Wall,,5 Goodhew Road,,,CROYDON,CR0 6QZ,,,,,,,,N,N,0.6407,0.6406,0.3009,0.3022,0.1834,0.1939,0,0,0,0,0.3631,0.3631,0.0649,0.0659,265.73,266.12,0,0.39,408.42,412.89,0,4.47,Simpler Energy,24.87,1 Year Fixed Loyalty,26.7,Simpler Energy,32.26,1 Year Fixed Loyalty,48.04,A,118,N/A,Simpler Energy - Economy 7,On Demand,A,4251.7,N/A,Simpler Energy,On Demand,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,4.86,674.15,679.01,OPTED OUT,PROSPECTIVE,OK,OK,OK,OK,,OK,OK,OK,OK,PAYM,B,INCR,4.86,2,,The Executors Of Mrs Irene Wall,5 Goodhew Road,,,CROYDON,,CR0 6QZ,"5 Goodhew Road, Croydon, CR0 6QZ",22,03-Dec-24,,,,
Credit - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,26226810,26226810,,John,Berrill,30,BARR STREET,,WEST MIDLANDS,DY32LZ,,,,,,,jb5749@hotmail.co.uk,N,N,0.6975,0.6974,0.2652,0.2754,0.2076,0.2065,0,0,0,0,0.3631,0.3631,0.0652,0.0663,1015.29,1034.29,0,19,1180.18,1197.05,0,16.87,Simpler Energy - 2 Rate,61.31,1 Year Fixed Loyalty,78.26,Simpler Energy,70.97,1 Year Fixed Loyalty,87.98,A,3113,N/A,Simpler Energy - 2 Rate,On Demand,A,16067,N/A,Simpler Energy,On Demand,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,35.87,2195.47,2231.34,POST,PROSPECTIVE,OK,OK,OK,OK,,OK,OK,OK,OK,PAYM,D,INCR,35.87,2,,John Berrill,30 Barr Street,,,WEST MIDLANDS,,DY32LZ,"30 Barr Street, West Midlands, DY32LZ",31,03-Dec-24,,,,
Credit - Non Exotic - Letter,POST,Dual Fuel,_E,OVO,21282476,21282476,Mr,Carlos,Pestana,47 Yoxall Avenue,,,STOKE-ON-TRENT,ST4 7JJ,,,,,,,pestana.carlos@hotmail.co.uk,N,N,0.6975,0.6974,0.2795,0.2814,0.1838,0.1934,0,0,0,0,0.3631,0.3631,0.0652,0.0663,739.44,746.35,0,6.91,828.29,839.5,0,11.21,Simpler Energy,58.64,1 Year Fixed Loyalty,76.42,Simpler Energy,52.83,1 Year Fixed Loyalty,69.28,A,1884,N/A,Simpler Energy - Economy 7,On Demand,A,10670.42,N/A,Simpler Energy,On Demand,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,18.12,1567.73,1585.85,POST,PROSPECTIVE,OK,OK,OK,OK,,OK,OK,OK,OK,PAYM,D,INCR,18.12,2,,Mr Carlos Pestana,47 Yoxall Avenue,,,STOKE-ON-TRENT,,ST4 7JJ,"47 Yoxall Avenue, Stoke-On-Trent, ST4 7JJ",32,03-Dec-24,,,,
Credit - Non Exotic - Letter,POST,Dual Fuel,_G,OVO,23933896,23933896,,Riverside - Manchester,,Accounts Payable 2 Estuary Boulevard,Estuary Commerce Park,,LIVERPOOL,L24 8RF,,Energy Angels - Riverside Housing Group (Manchester) **Super,",",,,,energyangels+migr000247179@ovo.com,N,N,0.5752,0.5751,0.3022,0.3016,0.176,0.1888,0,0,0,0,0.3631,0.3631,0.0648,0.0658,864.81,868.14,0,3.33,624.29,632.26,0,7.97,Simpler Energy,90.95,1 Year Fixed Loyalty,112.64,Simpler Energy,42.14,1 Year Fixed Loyalty,58.27,A,2317,N/A,Simpler Energy - Economy 7,On Demand,A,7590.65,N/A,Simpler Energy,On Demand,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,11.3,1489.1,1500.4,POST,PROSPECTIVE,OK,OK,OK,OK,,OK,OK,OK,OK,PAYM,D,INCR,11.3,2,,Riverside - Manchester,Accounts Payable 2 Estuary Boulevard,Estuary Commerce Park,,LIVERPOOL,,L24 8RF,"Accounts Payable 2 Estuary Boulevard, Estuary Commerce Park, Liverpool, L24 8RF",41,03-Dec-24,,,,
