Communication_Group,Communication_Type,Fuel_Type,Zone,Supplier,Elec_Customer_No,Gas_Customer_No,Title,First_Name,Last_Name,Address_Line_1,Address_Line_2,Address_Line_3,Town,Postcode,Title_1,First_Name_1,Last_Name_1,Title_2,First_Name_2,Last_Name_2,Email_Address,Elec_Paperless,Gas_Paperless,Elec_Old_Stdg_Chrg,Elec_New_Stdg_Chrg,Elec_Old_Unit_1_Inc_Vat,Elec_New_Unit_1_Inc_Vat,Elec_Old_Unit_2_Inc_Vat,Elec_New_Unit_2_Inc_Vat,Elec_Old_Unit_3_Inc_Vat,Elec_New_Unit_3_Inc_Vat,Elec_Old_Unit_4_Inc_Vat,Elec_New_Unit_4_Inc_Vat,Gas_Old_Stdg_Chrg_Inc_Vat,Gas_New_Stdg_Chrg_Inc_Vat,Gas_Old_Unit_1_Inc_Vat,Gas_New_Unit_1_Inc_Vat,Elec_Total_Old_Cost,Elec_Total_New_Cost,Elec_Total_Savings_Cost,Elec_Total_Increase_Cost,Gas_Total_Old_Cost,Gas_Total_New_Cost,Gas_Total_Savings_Cost,Gas_Total_Increase_Cost,Cheapest_Similar_Tariff,Elec_Cheapest_Saving,Cheapest_Overall_Tariff,Elec_Cheapest_Overall_saving,Gas_Cheapest_Similar_Tariff,Gas_Cheapest_Saving,Gas_Cheapest_Overall_Tariff,Gas_Overall_Saving,Elec_Annual_Flag,Elec_Annual_Usage,SPID,Elec_Tariff_Name,Elec_Payment_Method,Gas_Annual_Flag,Gas_Annual_Usage,Gas_SPID,Gas_Tariff_Name,Gas_Payment_Method,Elec_Current_Prices_Until,Gas_Current_Prices_Until,Price_Implementation_Date,Price_Promise_Date,Cancellation_Date,Front_Of_Letter_No,Website,Elec_Price_Table_Code,Gas_Price_Table_Code,Date_Last_Updated,Total_Change,Total_Old_Costs,Total_New_Costs,Anytime_Consumption,Peak_Consumption,OffPeak_Consumption,Heating_Consumption,Evening_And_Weekend_Consumption,Marketing_pref,Beyond_eligibility
Credit - Non Exotic - Email,POST,Elec Only,_D,OVO,22721989,,Mr,Terrance,Burns,"Flat 10, Alexander Court Carnarvon Street",Thatto Heath,,ST. HELENS,WA9 5QN,,,,,,,,Y,Y,0.6769,0.676,0.2879,0.2888,0.175,0.1859,0,0,0,0,,,,,392.95,393.85,0,0.9,,,,,Simpler Energy,7.55,1 Year Fixed Loyalty,13.17,,,,,A,538,N/A,Simpler Energy - Economy 7,Direct Debit,,,,,,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,0.9,392.95,393.85,0,458,80,0,0,POST,PROSPECTIVE
Credit - Non Exotic - Letter,POST,Elec Only,_D,OVO,21179158,,Ms,Barbara,George,FLAT 14 GRANGEWOOD CRT 1 The WOODLANDS,,,BIRKENHEAD,CH41 2SH,,,,,,,,N,N,0.6769,0.676,0.2879,0.2888,0.175,0.1859,0,0,0,0,,,,,601.46,612.88,0,11.42,,,,,Simpler Energy - Economy 7,0,1 Year Fixed Loyalty - Economy 7,10.95,,,,,A,1639,N/A,Simpler Energy - Economy 7,Direct Debit,,,,,,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,11.42,601.46,612.88,0,598,1041,0,0,POST,PROSPECTIVE
Credit - Non Exotic - Letter,POST,Elec Only,_D,OVO,21606747,,Mr,Anthony,Warwick,Flat 1 10 Cambrian Terrace,Borth,,ABERYSTWYTH,SY24 5HU,,,,,,,,N,N,0.6769,0.676,0.2879,0.2888,0.175,0.1859,0,0,0,0,,,,,531.5,533.12,0,1.62,,,,,Simpler Energy,19.84,1 Year Fixed Loyalty,29.91,,,,,A,1031,N/A,Simpler Energy - Economy 7,Direct Debit,,,,,,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,1.62,531.5,533.12,0,921,110,0,0,POST,PROSPECTIVE
Credit - Non Exotic - Email,POST,Elec Only,_D,OVO,23322661,,Mrs,Pamela,Burgis,57 Cheshire Street,Audlem,,CREWE,CW3 0HB,,,,,,,,Y,Y,0.6769,0.676,0.265,0.276,0.216,0.2149,0,0,0,0,,,,,1426.83,1456.83,0,30,,,,,Simpler Energy - Economy 10,0,1 Year Fixed Loyalty,17.64,,,,,A,4797,N/A,Simpler Energy - Economy 10,Direct Debit,,,,,,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,30,1426.83,1456.83,0,2930,1867,0,0,POST,PROSPECTIVE
Credit - Non Exotic - Letter,POST,Elec Only,_D,OVO,23137007,,Miss,Ruth,Netley,Flat 2 14 Russell Road,Rhyl,,DENBIGH,LL18 3DD,,,,,,,,N,N,0.6769,0.676,0.265,0.276,0.216,0.2149,0,0,0,0,,,,,1337.1,1343.26,0,6.16,,,,,Simpler Energy - Economy 10,0,Simpler Energy - Economy 10,0,,,,,A,4829,N/A,Simpler Energy - Economy 10,Direct Debit,,,,,,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,6.16,1337.1,1343.26,0,959,3870,0,0,OPTED OUT,PROSPECTIVE
Credit - Non Exotic - Letter,POST,Elec Only,_D,OVO,21583461,,Mrs,Madeline,Reader,5 Tai'r Felin,,,PORTHMADOG,LL49 9EP,,,,,,,,N,N,0.6769,0.676,0.2879,0.2888,0.175,0.1859,0,0,0,0,,,,,1317.66,1376.52,0,58.86,,,,,Simpler Energy - Economy 7,0,1 Year Fixed Loyalty - Economy 7,22.64,,,,,A,5852,N/A,Simpler Energy - Economy 7,Direct Debit,,,,,,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,58.86,1317.66,1376.52,0,410,5442,0,0,OPTED OUT,PROSPECTIVE
Credit - Non Exotic - Letter,POST,Elec Only,_D,OVO,23729416,,Mr,Damian,Girvin,Whitelands Audley Road,Barthomley,,CREWE,CW2 5PL,,,,,,,damian.girvin@virgin.net,N,N,0.6769,0.676,0.2879,0.2888,0.175,0.1859,0,0,0,0,,,,,271.02,271.95,0,0.93,,,,,Simpler Energy - Economy 7,0,1 Year Fixed Loyalty - Economy 7,1.28,,,,,A,129,N/A,Simpler Energy - Economy 7,Direct Debit,,,,,,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,0.93,271.02,271.95,0,12,117,0,0,POST,PROSPECTIVE
Credit - Non Exotic - Letter,POST,Elec Only,_D,OVO,21065545,,Miss,Margaret Jean,KIDD,38 Green Park,,,BOOTLE,L30 7PP,,,,,,,,N,N,0.6769,0.676,0.2879,0.2888,0.175,0.1859,0,0,0,0,,,,,1577.76,1638.12,0,60.36,,,,,Simpler Energy - Economy 7,0,1 Year Fixed Loyalty - Economy 7,32.79,,,,,A,6784,N/A,Simpler Energy - Economy 7,Direct Debit,,,,,,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,60.36,1577.76,1638.12,0,1269,5515,0,0,POST,PROSPECTIVE
Credit - Non Exotic - Letter,POST,Elec Only,_D,OVO,21180460,,Mr,John,Jones,Flat 35 Glyn Padarn,Llanbadarn Fawr,,ABERYSTWYTH,SY23 3QU,,,,,,,,N,N,0.6769,0.676,0.2879,0.2888,0.175,0.1859,0,0,0,0,,,,,1508.82,1525.13,0,16.31,,,,,Simpler Energy,21.51,1 Year Fixed Loyalty,66.31,,,,,A,4876,N/A,Simpler Energy - Economy 7,Direct Debit,,,,,,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,16.31,1508.82,1525.13,0,3617,1259,0,0,POST,PROSPECTIVE
Credit - Non Exotic - Letter,POST,Elec Only,_D,OVO,23733743,,Mrs,Anastasia,Deus,27 Larne Court,,,WIDNES,WA8 9SG,,,,,,,anastasiadeus@yahoo.co.uk,N,N,0.6769,0.676,0.2879,0.2888,0.175,0.1859,0,0,0,0,,,,,1216.79,1251.78,0,34.99,,,,,Simpler Energy - Economy 7,0,1 Year Fixed Loyalty - Economy 7,27.45,,,,,A,4605,N/A,Simpler Energy - Economy 7,Direct Debit,,,,,,,,1st January 2025,,,0345 072 4347,https://www.ovoenergy.com/,,,,34.99,1216.79,1251.78,0,1450,3155,0,0,POST,PROSPECTIVE
